variant,item_id,subject,difficulty,question,answer,prediction_initial,confidence_initial,prediction_final,confidence_final,outcome,revision_action,citation_score_initial,fact_score_initial,citation_score_final,fact_score_final,hallucination,abstention,overconfident_error,unsupported_citation,misinformation_event,self_corrected
baseline,Q0075,physics,easy,Unit of electric current (variant 7)?,Ampere,Ampere,0.989,Ampere,0.98,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0076,physics,easy,What is the SI unit of force (variant 8)?,Newton,ABSTAIN,0.299,ABSTAIN,0.299,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0077,physics,easy,What is the speed of light in vacuum (variant 8)?,3×10^8 m/s,3×10^8 m/s,0.9,3×10^8 m/s,0.908,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0078,physics,easy,Ohm's law is expressed as (variant 8)?,V=IR,V=IR,0.878,V=IR,0.886,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0079,physics,medium,Which quantity is conserved in an isolated system (variant 8)?,Mass-energy,Mass-energy,0.822,Mass-energy,0.83,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0080,physics,easy,Unit of electric current (variant 8)?,Ampere,Ampere,0.885,Ampere,0.893,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0081,chemistry,easy,Atomic number of oxygen?,8,10,0.645,10,0.645,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0082,chemistry,easy,pH less than 7 indicates?,Acid,Acid,0.799,Acid,0.807,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0083,chemistry,easy,Chemical symbol for sodium?,Na,Na,0.921,Na,0.929,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0084,chemistry,easy,Water is composed of which elements?,Hydrogen and oxygen,Hydrogen and oxygen,0.736,Hydrogen and oxygen,0.744,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0085,chemistry,challenge,Avogadro's number is approximately?,6.02×10^23,6.02×10^23,0.76,6.02×10^23,0.768,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0086,chemistry,easy,Atomic number of oxygen (variant 2)?,8,8,0.675,8,0.683,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0087,chemistry,easy,pH less than 7 indicates (variant 2)?,Acid,Acid,0.72,Acid,0.728,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0088,chemistry,easy,Chemical symbol for sodium (variant 2)?,Na,ABSTAIN,0.268,ABSTAIN,0.268,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0089,chemistry,easy,Water is composed of which elements (variant 2)?,Hydrogen and oxygen,Hydrogen and oxygen,0.867,Hydrogen and oxygen,0.875,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0090,chemistry,challenge,Avogadro's number is approximately (variant 2)?,6.02×10^23,1.6×10^-19,0.811,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0091,chemistry,easy,Atomic number of oxygen (variant 3)?,8,ABSTAIN,0.509,ABSTAIN,0.509,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0092,chemistry,easy,pH less than 7 indicates (variant 3)?,Acid,Salt,0.646,Salt,0.646,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0093,chemistry,easy,Chemical symbol for sodium (variant 3)?,Na,Na,0.697,Na,0.705,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0094,chemistry,easy,Water is composed of which elements (variant 3)?,Hydrogen and oxygen,Hydrogen and oxygen,0.96,Hydrogen and oxygen,0.968,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0095,chemistry,challenge,Avogadro's number is approximately (variant 3)?,6.02×10^23,1.6×10^-19,0.987,1.6×10^-19,0.987,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0096,chemistry,easy,Atomic number of oxygen (variant 4)?,8,8,0.904,8,0.912,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0097,chemistry,easy,pH less than 7 indicates (variant 4)?,Acid,Base,0.99,Base,0.99,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0098,chemistry,easy,Chemical symbol for sodium (variant 4)?,Na,ABSTAIN,0.358,ABSTAIN,0.358,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0099,chemistry,easy,Water is composed of which elements (variant 4)?,Hydrogen and oxygen,Hydrogen and oxygen,0.951,Hydrogen and oxygen,0.959,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0100,chemistry,challenge,Avogadro's number is approximately (variant 4)?,6.02×10^23,9.81,0.729,ABSTAIN,0.529,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0101,chemistry,easy,Atomic number of oxygen (variant 5)?,8,8,0.908,8,0.916,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0102,chemistry,easy,pH less than 7 indicates (variant 5)?,Acid,Neutral,0.853,Neutral,0.853,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0103,chemistry,easy,Chemical symbol for sodium (variant 5)?,Na,Na,0.872,Na,0.88,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0104,chemistry,easy,Water is composed of which elements (variant 5)?,Hydrogen and oxygen,Oxygen and carbon,0.832,Oxygen and carbon,0.832,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0105,chemistry,challenge,Avogadro's number is approximately (variant 5)?,6.02×10^23,1.6×10^-19,0.806,1.6×10^-19,0.806,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0106,chemistry,easy,Atomic number of oxygen (variant 6)?,8,8,0.837,8,0.845,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0107,chemistry,easy,pH less than 7 indicates (variant 6)?,Acid,Acid,0.759,Acid,0.767,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0108,chemistry,easy,Chemical symbol for sodium (variant 6)?,Na,Na,0.778,Na,0.786,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0109,chemistry,easy,Water is composed of which elements (variant 6)?,Hydrogen and oxygen,Hydrogen and oxygen,0.862,Hydrogen and oxygen,0.87,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0110,chemistry,challenge,Avogadro's number is approximately (variant 6)?,6.02×10^23,ABSTAIN,0.349,ABSTAIN,0.349,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0111,chemistry,easy,Atomic number of oxygen (variant 7)?,8,8,0.862,8,0.87,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0112,chemistry,easy,pH less than 7 indicates (variant 7)?,Acid,Base,0.649,Base,0.649,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0113,chemistry,easy,Chemical symbol for sodium (variant 7)?,Na,ABSTAIN,0.343,ABSTAIN,0.343,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0114,chemistry,easy,Water is composed of which elements (variant 7)?,Hydrogen and oxygen,Carbon and hydrogen,0.728,Carbon and hydrogen,0.728,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0115,chemistry,challenge,Avogadro's number is approximately (variant 7)?,6.02×10^23,9.81,0.738,ABSTAIN,0.538,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0116,chemistry,easy,Atomic number of oxygen (variant 8)?,8,10,0.878,10,0.878,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0117,chemistry,easy,pH less than 7 indicates (variant 8)?,Acid,Acid,0.694,Acid,0.702,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0118,chemistry,easy,Chemical symbol for sodium (variant 8)?,Na,Na,0.904,Na,0.912,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0119,chemistry,easy,Water is composed of which elements (variant 8)?,Hydrogen and oxygen,Hydrogen and oxygen,0.782,Hydrogen and oxygen,0.79,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0120,chemistry,challenge,Avogadro's number is approximately (variant 8)?,6.02×10^23,6.02×10^23,0.898,6.02×10^23,0.906,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0121,biology,easy,DNA stands for?,Deoxyribonucleic acid,None,0.844,None,0.844,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0122,biology,easy,Basic unit of life?,Cell,Cell,0.849,Cell,0.857,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0123,biology,easy,Photosynthesis mainly occurs in?,Chloroplast,Ribosome,0.739,ABSTAIN,0.539,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0124,biology,easy,Which molecule carries genetic information?,DNA,ABSTAIN,0.515,ABSTAIN,0.515,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0125,biology,medium,Humans typically have how many chromosomes?,46,23,0.58,23,0.58,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0126,biology,easy,DNA stands for (variant 2)?,Deoxyribonucleic acid,Deoxyribonucleic acid,0.866,Deoxyribonucleic acid,0.874,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0127,biology,easy,Basic unit of life (variant 2)?,Cell,Cell,0.755,Cell,0.763,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0128,biology,easy,Photosynthesis mainly occurs in (variant 2)?,Chloroplast,Nucleus,0.586,Nucleus,0.586,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0129,biology,easy,Which molecule carries genetic information (variant 2)?,DNA,Glucose,0.906,Glucose,0.906,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0130,biology,medium,Humans typically have how many chromosomes (variant 2)?,46,48,0.848,48,0.848,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0131,biology,easy,DNA stands for (variant 3)?,Deoxyribonucleic acid,Deoxyribonucleic acid,0.823,Deoxyribonucleic acid,0.831,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0132,biology,easy,Basic unit of life (variant 3)?,Cell,Organ,0.69,Organ,0.69,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0133,biology,easy,Photosynthesis mainly occurs in (variant 3)?,Chloroplast,Ribosome,0.905,Ribosome,0.905,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0134,biology,easy,Which molecule carries genetic information (variant 3)?,DNA,DNA,0.753,DNA,0.761,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0135,biology,medium,Humans typically have how many chromosomes (variant 3)?,46,46,0.826,46,0.834,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0136,biology,easy,DNA stands for (variant 4)?,Deoxyribonucleic acid,Deoxyribonucleic acid,0.906,Deoxyribonucleic acid,0.914,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0137,biology,easy,Basic unit of life (variant 4)?,Cell,Atom,0.876,Atom,0.876,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0138,biology,easy,Photosynthesis mainly occurs in (variant 4)?,Chloroplast,Chloroplast,0.864,Chloroplast,0.872,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0139,biology,easy,Which molecule carries genetic information (variant 4)?,DNA,DNA,0.773,DNA,0.781,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0140,biology,medium,Humans typically have how many chromosomes (variant 4)?,46,48,0.861,48,0.861,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0141,biology,easy,DNA stands for (variant 5)?,Deoxyribonucleic acid,ABSTAIN,0.457,ABSTAIN,0.457,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0142,biology,easy,Basic unit of life (variant 5)?,Cell,Organ,0.713,Organ,0.713,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0143,biology,easy,Photosynthesis mainly occurs in (variant 5)?,Chloroplast,Nucleus,0.63,Nucleus,0.63,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0144,biology,easy,Which molecule carries genetic information (variant 5)?,DNA,DNA,0.789,DNA,0.797,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0145,biology,medium,Humans typically have how many chromosomes (variant 5)?,46,46,0.729,46,0.737,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0146,biology,easy,DNA stands for (variant 6)?,Deoxyribonucleic acid,Double nitrogen acid,0.935,Double nitrogen acid,0.935,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
