item_id,citation_id,source_title,snippet,supports_answer
Q0007,Q0007_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 2)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0007,Q0007_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 2)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0008,Q0008_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 2)?', the supported answer is '14'.",14
Q0008,Q0008_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 2)?' should be checked carefully against authoritative instructional material.",14
Q0008,Q0008_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 2)?' is choosing '10' incorrectly.",14
Q0009,Q0009_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 2)?', the supported answer is '1'.",1
Q0009,Q0009_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 2)?' should be checked carefully against authoritative instructional material.,1
Q0009,Q0009_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 2)?' is choosing '0' incorrectly.,1
Q0010,Q0010_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 2)?', the supported answer is '4'.",4
Q0010,Q0010_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 2)?' should be checked carefully against authoritative instructional material.,4
Q0010,Q0010_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 2)?' is choosing '2' incorrectly.,4
Q0011,Q0011_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 3)?', the supported answer is '2x'.",2x
Q0011,Q0011_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 3)?' should be checked carefully against authoritative instructional material.,2x
Q0011,Q0011_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 3)?' is choosing 'x' incorrectly.,2x
Q0012,Q0012_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 3)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0012,Q0012_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 3)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0012,Q0012_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 3)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0013,Q0013_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 3)?', the supported answer is '14'.",14
Q0013,Q0013_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 3)?' should be checked carefully against authoritative instructional material.",14
Q0013,Q0013_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 3)?' is choosing '10' incorrectly.",14
Q0014,Q0014_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 3)?', the supported answer is '1'.",1
Q0014,Q0014_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 3)?' should be checked carefully against authoritative instructional material.,1
Q0014,Q0014_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 3)?' is choosing '0' incorrectly.,1
Q0015,Q0015_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 3)?', the supported answer is '4'.",4
Q0015,Q0015_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 3)?' should be checked carefully against authoritative instructional material.,4
Q0015,Q0015_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 3)?' is choosing '2' incorrectly.,4
Q0016,Q0016_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 4)?', the supported answer is '2x'.",2x
Q0016,Q0016_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 4)?' should be checked carefully against authoritative instructional material.,2x
Q0016,Q0016_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 4)?' is choosing 'x' incorrectly.,2x
Q0017,Q0017_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 4)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0017,Q0017_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 4)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0017,Q0017_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 4)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0018,Q0018_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 4)?', the supported answer is '14'.",14
Q0018,Q0018_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 4)?' should be checked carefully against authoritative instructional material.",14
Q0018,Q0018_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 4)?' is choosing '10' incorrectly.",14
Q0019,Q0019_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 4)?', the supported answer is '1'.",1
Q0019,Q0019_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 4)?' should be checked carefully against authoritative instructional material.,1
Q0019,Q0019_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 4)?' is choosing '0' incorrectly.,1
Q0020,Q0020_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 4)?', the supported answer is '4'.",4
Q0020,Q0020_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 4)?' should be checked carefully against authoritative instructional material.,4
Q0020,Q0020_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 4)?' is choosing '2' incorrectly.,4
Q0021,Q0021_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 5)?', the supported answer is '2x'.",2x
Q0021,Q0021_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 5)?' should be checked carefully against authoritative instructional material.,2x
Q0021,Q0021_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 5)?' is choosing 'x' incorrectly.,2x
Q0022,Q0022_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 5)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0022,Q0022_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 5)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0022,Q0022_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 5)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0023,Q0023_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 5)?', the supported answer is '14'.",14
Q0023,Q0023_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 5)?' should be checked carefully against authoritative instructional material.",14
Q0023,Q0023_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 5)?' is choosing '10' incorrectly.",14
Q0024,Q0024_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 5)?', the supported answer is '1'.",1
Q0024,Q0024_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 5)?' should be checked carefully against authoritative instructional material.,1
Q0024,Q0024_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 5)?' is choosing '0' incorrectly.,1
Q0025,Q0025_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 5)?', the supported answer is '4'.",4
Q0025,Q0025_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 5)?' should be checked carefully against authoritative instructional material.,4
Q0025,Q0025_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 5)?' is choosing '2' incorrectly.,4
Q0026,Q0026_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 6)?', the supported answer is '2x'.",2x
Q0026,Q0026_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 6)?' should be checked carefully against authoritative instructional material.,2x
Q0026,Q0026_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 6)?' is choosing 'x' incorrectly.,2x
Q0027,Q0027_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 6)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0027,Q0027_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 6)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0027,Q0027_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 6)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0028,Q0028_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 6)?', the supported answer is '14'.",14
Q0028,Q0028_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 6)?' should be checked carefully against authoritative instructional material.",14
Q0028,Q0028_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 6)?' is choosing '10' incorrectly.",14
Q0029,Q0029_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 6)?', the supported answer is '1'.",1
Q0029,Q0029_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 6)?' should be checked carefully against authoritative instructional material.,1
Q0029,Q0029_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 6)?' is choosing '0' incorrectly.,1
Q0030,Q0030_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 6)?', the supported answer is '4'.",4
Q0030,Q0030_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 6)?' should be checked carefully against authoritative instructional material.,4
Q0030,Q0030_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 6)?' is choosing '2' incorrectly.,4
Q0031,Q0031_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 7)?', the supported answer is '2x'.",2x
Q0031,Q0031_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 7)?' should be checked carefully against authoritative instructional material.,2x
Q0031,Q0031_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 7)?' is choosing 'x' incorrectly.,2x
Q0032,Q0032_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 7)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0032,Q0032_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 7)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0032,Q0032_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 7)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0033,Q0033_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 7)?', the supported answer is '14'.",14
Q0033,Q0033_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 7)?' should be checked carefully against authoritative instructional material.",14
Q0033,Q0033_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 7)?' is choosing '10' incorrectly.",14
Q0034,Q0034_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 7)?', the supported answer is '1'.",1
Q0034,Q0034_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 7)?' should be checked carefully against authoritative instructional material.,1
Q0034,Q0034_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 7)?' is choosing '0' incorrectly.,1
Q0035,Q0035_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 7)?', the supported answer is '4'.",4
Q0035,Q0035_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 7)?' should be checked carefully against authoritative instructional material.,4
Q0035,Q0035_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 7)?' is choosing '2' incorrectly.,4
Q0036,Q0036_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 8)?', the supported answer is '2x'.",2x
Q0036,Q0036_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 8)?' should be checked carefully against authoritative instructional material.,2x
Q0036,Q0036_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 8)?' is choosing 'x' incorrectly.,2x
Q0037,Q0037_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 8)?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0037,Q0037_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x (variant 8)?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0037,Q0037_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x (variant 8)?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0038,Q0038_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4) (variant 8)?', the supported answer is '14'.",14
Q0038,Q0038_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4) (variant 8)?' should be checked carefully against authoritative instructional material.",14
Q0038,Q0038_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4) (variant 8)?' is choosing '10' incorrectly.",14
Q0039,Q0039_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2) (variant 8)?', the supported answer is '1'.",1
Q0039,Q0039_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2) (variant 8)?' should be checked carefully against authoritative instructional material.,1
Q0039,Q0039_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2) (variant 8)?' is choosing '0' incorrectly.,1
Q0040,Q0040_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11 (variant 8)?', the supported answer is '4'.",4
Q0040,Q0040_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11 (variant 8)?' should be checked carefully against authoritative instructional material.,4
Q0040,Q0040_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11 (variant 8)?' is choosing '2' incorrectly.,4
Q0041,Q0041_E1,Physics Essentials,"For the question 'What is the SI unit of force?', the supported answer is 'Newton'.",Newton
Q0041,Q0041_E2,Physics Reference Notes,The key concept related to 'What is the SI unit of force?' should be checked carefully against authoritative instructional material.,Newton
Q0041,Q0041_E3,Physics Misconception Watchlist,A common misconception for 'What is the SI unit of force?' is choosing 'Joule' incorrectly.,Newton
Q0042,Q0042_E1,Physics Essentials,"For the question 'What is the speed of light in vacuum?', the supported answer is '3×10^8 m/s'.",3×10^8 m/s
Q0042,Q0042_E2,Physics Reference Notes,The key concept related to 'What is the speed of light in vacuum?' should be checked carefully against authoritative instructional material.,3×10^8 m/s
Q0042,Q0042_E3,Physics Misconception Watchlist,A common misconception for 'What is the speed of light in vacuum?' is choosing '3×10^6 m/s' incorrectly.,3×10^8 m/s
Q0043,Q0043_E1,Physics Essentials,"For the question 'Ohm's law is expressed as?', the supported answer is 'V=IR'.",V=IR
Q0043,Q0043_E2,Physics Reference Notes,The key concept related to 'Ohm's law is expressed as?' should be checked carefully against authoritative instructional material.,V=IR
Q0043,Q0043_E3,Physics Misconception Watchlist,A common misconception for 'Ohm's law is expressed as?' is choosing 'P=IV' incorrectly.,V=IR
Q0044,Q0044_E1,Physics Essentials,"For the question 'Which quantity is conserved in an isolated system?', the supported answer is 'Mass-energy'.",Mass-energy
Q0044,Q0044_E2,Physics Reference Notes,The key concept related to 'Which quantity is conserved in an isolated system?' should be checked carefully against authoritative instructional material.,Mass-energy
Q0044,Q0044_E3,Physics Misconception Watchlist,A common misconception for 'Which quantity is conserved in an isolated system?' is choosing 'Voltage' incorrectly.,Mass-energy
Q0045,Q0045_E1,Physics Essentials,"For the question 'Unit of electric current?', the supported answer is 'Ampere'.",Ampere
Q0045,Q0045_E2,Physics Reference Notes,The key concept related to 'Unit of electric current?' should be checked carefully against authoritative instructional material.,Ampere
Q0045,Q0045_E3,Physics Misconception Watchlist,A common misconception for 'Unit of electric current?' is choosing 'Volt' incorrectly.,Ampere
Q0046,Q0046_E1,Physics Essentials,"For the question 'What is the SI unit of force (variant 2)?', the supported answer is 'Newton'.",Newton
Q0046,Q0046_E2,Physics Reference Notes,The key concept related to 'What is the SI unit of force (variant 2)?' should be checked carefully against authoritative instructional material.,Newton
Q0046,Q0046_E3,Physics Misconception Watchlist,A common misconception for 'What is the SI unit of force (variant 2)?' is choosing 'Joule' incorrectly.,Newton
Q0047,Q0047_E1,Physics Essentials,"For the question 'What is the speed of light in vacuum (variant 2)?', the supported answer is '3×10^8 m/s'.",3×10^8 m/s
Q0047,Q0047_E2,Physics Reference Notes,The key concept related to 'What is the speed of light in vacuum (variant 2)?' should be checked carefully against authoritative instructional material.,3×10^8 m/s
Q0047,Q0047_E3,Physics Misconception Watchlist,A common misconception for 'What is the speed of light in vacuum (variant 2)?' is choosing '3×10^6 m/s' incorrectly.,3×10^8 m/s
Q0048,Q0048_E1,Physics Essentials,"For the question 'Ohm's law is expressed as (variant 2)?', the supported answer is 'V=IR'.",V=IR
Q0048,Q0048_E2,Physics Reference Notes,The key concept related to 'Ohm's law is expressed as (variant 2)?' should be checked carefully against authoritative instructional material.,V=IR
Q0048,Q0048_E3,Physics Misconception Watchlist,A common misconception for 'Ohm's law is expressed as (variant 2)?' is choosing 'P=IV' incorrectly.,V=IR
Q0049,Q0049_E1,Physics Essentials,"For the question 'Which quantity is conserved in an isolated system (variant 2)?', the supported answer is 'Mass-energy'.",Mass-energy
Q0049,Q0049_E2,Physics Reference Notes,The key concept related to 'Which quantity is conserved in an isolated system (variant 2)?' should be checked carefully against authoritative instructional material.,Mass-energy
Q0049,Q0049_E3,Physics Misconception Watchlist,A common misconception for 'Which quantity is conserved in an isolated system (variant 2)?' is choosing 'Voltage' incorrectly.,Mass-energy
Q0050,Q0050_E1,Physics Essentials,"For the question 'Unit of electric current (variant 2)?', the supported answer is 'Ampere'.",Ampere
Q0050,Q0050_E2,Physics Reference Notes,The key concept related to 'Unit of electric current (variant 2)?' should be checked carefully against authoritative instructional material.,Ampere
Q0050,Q0050_E3,Physics Misconception Watchlist,A common misconception for 'Unit of electric current (variant 2)?' is choosing 'Volt' incorrectly.,Ampere
Q0051,Q0051_E1,Physics Essentials,"For the question 'What is the SI unit of force (variant 3)?', the supported answer is 'Newton'.",Newton
Q0051,Q0051_E2,Physics Reference Notes,The key concept related to 'What is the SI unit of force (variant 3)?' should be checked carefully against authoritative instructional material.,Newton
Q0051,Q0051_E3,Physics Misconception Watchlist,A common misconception for 'What is the SI unit of force (variant 3)?' is choosing 'Joule' incorrectly.,Newton
Q0052,Q0052_E1,Physics Essentials,"For the question 'What is the speed of light in vacuum (variant 3)?', the supported answer is '3×10^8 m/s'.",3×10^8 m/s
Q0052,Q0052_E2,Physics Reference Notes,The key concept related to 'What is the speed of light in vacuum (variant 3)?' should be checked carefully against authoritative instructional material.,3×10^8 m/s
Q0052,Q0052_E3,Physics Misconception Watchlist,A common misconception for 'What is the speed of light in vacuum (variant 3)?' is choosing '3×10^6 m/s' incorrectly.,3×10^8 m/s
Q0053,Q0053_E1,Physics Essentials,"For the question 'Ohm's law is expressed as (variant 3)?', the supported answer is 'V=IR'.",V=IR
Q0053,Q0053_E2,Physics Reference Notes,The key concept related to 'Ohm's law is expressed as (variant 3)?' should be checked carefully against authoritative instructional material.,V=IR
Q0053,Q0053_E3,Physics Misconception Watchlist,A common misconception for 'Ohm's law is expressed as (variant 3)?' is choosing 'P=IV' incorrectly.,V=IR
Q0054,Q0054_E1,Physics Essentials,"For the question 'Which quantity is conserved in an isolated system (variant 3)?', the supported answer is 'Mass-energy'.",Mass-energy
Q0054,Q0054_E2,Physics Reference Notes,The key concept related to 'Which quantity is conserved in an isolated system (variant 3)?' should be checked carefully against authoritative instructional material.,Mass-energy
Q0054,Q0054_E3,Physics Misconception Watchlist,A common misconception for 'Which quantity is conserved in an isolated system (variant 3)?' is choosing 'Voltage' incorrectly.,Mass-energy
Q0055,Q0055_E1,Physics Essentials,"For the question 'Unit of electric current (variant 3)?', the supported answer is 'Ampere'.",Ampere
Q0055,Q0055_E2,Physics Reference Notes,The key concept related to 'Unit of electric current (variant 3)?' should be checked carefully against authoritative instructional material.,Ampere
Q0055,Q0055_E3,Physics Misconception Watchlist,A common misconception for 'Unit of electric current (variant 3)?' is choosing 'Volt' incorrectly.,Ampere
Q0056,Q0056_E1,Physics Essentials,"For the question 'What is the SI unit of force (variant 4)?', the supported answer is 'Newton'.",Newton
Q0056,Q0056_E2,Physics Reference Notes,The key concept related to 'What is the SI unit of force (variant 4)?' should be checked carefully against authoritative instructional material.,Newton
Q0056,Q0056_E3,Physics Misconception Watchlist,A common misconception for 'What is the SI unit of force (variant 4)?' is choosing 'Joule' incorrectly.,Newton
Q0057,Q0057_E1,Physics Essentials,"For the question 'What is the speed of light in vacuum (variant 4)?', the supported answer is '3×10^8 m/s'.",3×10^8 m/s
Q0057,Q0057_E2,Physics Reference Notes,The key concept related to 'What is the speed of light in vacuum (variant 4)?' should be checked carefully against authoritative instructional material.,3×10^8 m/s
Q0057,Q0057_E3,Physics Misconception Watchlist,A common misconception for 'What is the speed of light in vacuum (variant 4)?' is choosing '3×10^6 m/s' incorrectly.,3×10^8 m/s
Q0058,Q0058_E1,Physics Essentials,"For the question 'Ohm's law is expressed as (variant 4)?', the supported answer is 'V=IR'.",V=IR
Q0058,Q0058_E2,Physics Reference Notes,The key concept related to 'Ohm's law is expressed as (variant 4)?' should be checked carefully against authoritative instructional material.,V=IR
Q0058,Q0058_E3,Physics Misconception Watchlist,A common misconception for 'Ohm's law is expressed as (variant 4)?' is choosing 'P=IV' incorrectly.,V=IR
Q0059,Q0059_E1,Physics Essentials,"For the question 'Which quantity is conserved in an isolated system (variant 4)?', the supported answer is 'Mass-energy'.",Mass-energy
Q0059,Q0059_E2,Physics Reference Notes,The key concept related to 'Which quantity is conserved in an isolated system (variant 4)?' should be checked carefully against authoritative instructional material.,Mass-energy
Q0059,Q0059_E3,Physics Misconception Watchlist,A common misconception for 'Which quantity is conserved in an isolated system (variant 4)?' is choosing 'Voltage' incorrectly.,Mass-energy
Q0060,Q0060_E1,Physics Essentials,"For the question 'Unit of electric current (variant 4)?', the supported answer is 'Ampere'.",Ampere
Q0060,Q0060_E2,Physics Reference Notes,The key concept related to 'Unit of electric current (variant 4)?' should be checked carefully against authoritative instructional material.,Ampere
Q0060,Q0060_E3,Physics Misconception Watchlist,A common misconception for 'Unit of electric current (variant 4)?' is choosing 'Volt' incorrectly.,Ampere
Q0061,Q0061_E1,Physics Essentials,"For the question 'What is the SI unit of force (variant 5)?', the supported answer is 'Newton'.",Newton
Q0061,Q0061_E2,Physics Reference Notes,The key concept related to 'What is the SI unit of force (variant 5)?' should be checked carefully against authoritative instructional material.,Newton
Q0061,Q0061_E3,Physics Misconception Watchlist,A common misconception for 'What is the SI unit of force (variant 5)?' is choosing 'Joule' incorrectly.,Newton
Q0062,Q0062_E1,Physics Essentials,"For the question 'What is the speed of light in vacuum (variant 5)?', the supported answer is '3×10^8 m/s'.",3×10^8 m/s
Q0062,Q0062_E2,Physics Reference Notes,The key concept related to 'What is the speed of light in vacuum (variant 5)?' should be checked carefully against authoritative instructional material.,3×10^8 m/s
Q0062,Q0062_E3,Physics Misconception Watchlist,A common misconception for 'What is the speed of light in vacuum (variant 5)?' is choosing '3×10^6 m/s' incorrectly.,3×10^8 m/s
Q0063,Q0063_E1,Physics Essentials,"For the question 'Ohm's law is expressed as (variant 5)?', the supported answer is 'V=IR'.",V=IR
Q0063,Q0063_E2,Physics Reference Notes,The key concept related to 'Ohm's law is expressed as (variant 5)?' should be checked carefully against authoritative instructional material.,V=IR
Q0063,Q0063_E3,Physics Misconception Watchlist,A common misconception for 'Ohm's law is expressed as (variant 5)?' is choosing 'P=IV' incorrectly.,V=IR
Q0064,Q0064_E1,Physics Essentials,"For the question 'Which quantity is conserved in an isolated system (variant 5)?', the supported answer is 'Mass-energy'.",Mass-energy
Q0064,Q0064_E2,Physics Reference Notes,The key concept related to 'Which quantity is conserved in an isolated system (variant 5)?' should be checked carefully against authoritative instructional material.,Mass-energy
Q0064,Q0064_E3,Physics Misconception Watchlist,A common misconception for 'Which quantity is conserved in an isolated system (variant 5)?' is choosing 'Voltage' incorrectly.,Mass-energy
Q0065,Q0065_E1,Physics Essentials,"For the question 'Unit of electric current (variant 5)?', the supported answer is 'Ampere'.",Ampere
Q0065,Q0065_E2,Physics Reference Notes,The key concept related to 'Unit of electric current (variant 5)?' should be checked carefully against authoritative instructional material.,Ampere
